geo_loc_name	count	center_latitude	center_longitude	radius_meters	status	inferred_lat	inferred_lon
Mexico: Caribbean Sea, Quintana Roo	3	20.038240000000002	-87.04640666666667	145532.7	failed		
Mexico: Coahuila de Zaragoza, Cuatro Cienegas Basin, Rio Mesquites	1	26.91666667	-102.1	0	failed		
Mexico: Coahuila, Cuatro Cienegas Basin	1	26.91666667	-102.1	0	failed		
Mexico: North Pacific Ocean	8	18.98651125	-107.80178999999998	287610.8	failed		
Northeast Atlantic Ocean: Iberian Abyssal Plain	20	46.68323333	-11.604199999999999	0.0	failed		
Northeast Pacific Ocean: Guatemala Basin	7	6.7365	-91.93433332999999	0.0	failed		
Northern Mariana Islands: Northwest Pacific Ocean	2	15.11822	145.67055	16157.1	failed		
Palau: Philippine Sea, Koror	2	7.2849165	134.49945	3741.2	failed		
Panama: Gulf of Panama, Saboga	7	8.627658757142857	-79.05290077142857	1231.9	failed		
Peru: Puca Glacier	12	-13.773333	-71.07138899999998	0.0	failed		
Republic of Kiribati: Northern Line Islands, Palmyra Atoll	8	5.878406999999999	-162.11657	1416.2	failed		
Russia: Franz Josef Land, Luigi island	1	80.76666667	54.65	0	failed		
Spain: Province of Huelva, Reserva de la Biosfera y Paraje Natural de las Marismas del Odiel	23	37.21093447826087	-6.960468391304347	1180.6	failed		
Spain: Province of Huelva:Reserva de la Biosfera y Paraje Natural de las Marismas del Odiel	1	37.206429	-6.955089	0	failed		
USA: Alabama, Lenoir Landing	62	31.833423967741957	-88.17522783870966	3435.4	failed		
USA: Alabama, Lower Tombigbee River	4	31.85382	-88.1573	0	failed		
USA: Alabama, Talledega National Forest	2	32.950693	-87.392825	0	failed		
USA: Alaska, Caribou-Poker Creeks Research Watershed	129	65.16816551162795	-147.52096211627918	2608.4	failed		
USA: Alaska, Franklin Bluff	12	69.82277999999998	-148.67860999999996	0.0	failed		
USA: California , Lower Teakettle	2	37.00583	-119.00602	0	failed		
USA: California, Kendall-Frost Mission Bay Marsh Reserve	2	32.77924444	-117.2280806	0	failed		
USA: California, Lower Teakettle	18	37.01256049999999	-119.01520727777776	5601.3	failed		
USA: California, Teakettle Creek - Watershed 2	3	36.955224	-119.023553	0	failed		
USA: California, Upper Big Creek	16	37.05933518749999	-119.25714137499997	242.4	failed		
USA: California: Angelo Coastal Reserve	60	39.73919999999999	-123.63079999999992	0.0	failed		
USA: Colorado, Central Plains Experimental Range	204	40.82352801960782	-104.72496280882352	3717.1	failed		
USA: Colorado, West St Louis Creek	28	39.89126714285713	-105.914809	307.1	failed		
USA: Fraser, Colorado	1	39.8907	-105.9116	0	failed		
USA: Georgia, Atlanta Zoo	27	33.73000000000001	-84.36999999999995	0.0	failed		
USA: Hawaii, Puu Makaala Natural Area Reserve	86	19.561250313953487	-155.29095559302328	6553.8	failed		
USA: Idaho, Orchard Combat Training Center: 1983 OCTC Fire Burned	2	43.3055054	-116.2432178	0	failed		
USA: Idaho, Orchard Combat Training Center: 1983 OCTC Fire-Unburned	2	43.3055281	-116.2429905	0	failed		
USA: Iowa, Relay Cover Crop	2	41.3689584	-91.6066851	0	failed		
USA: Iowa, Relay No Cover	2	41.3690394	-91.6065423	0	failed		
USA: Kansas, KU Field Station	90	39.043115700000016	-95.19739039999996	1416.8	failed		
USA: Kansas, Konza Prairie Agroecosystem	53	39.149427132075466	-96.61411124528304	8469.5	failed		
USA: Kansas, McDiffett Creek	24	38.94597633333334	-96.44300966666663	64.3	failed		
USA: Kansas, University of Kansas Field Station	2	39.0407	-95.19161	0	failed		
USA: Los Alamos, NewMexico	1	35.868	-106.5233	0	failed		
USA: Maryland, National Zoo	25	38.92999999999998	-77.04999999999997	0.0	failed		
USA: Maryland, Northwest Baltimore Base of Slope Adelphi	2	38.993891	-76.977789	0	failed		
USA: Maryland, Northwest Baltimore Mid Slope Adelphi	2	38.994073	-76.977954	0	failed		
USA: Maryland, Northwest Baltimore Top of Slope Adelph	2	38.99425	-76.978175	0	failed		
USA: Maryland, Winters Lane Lower Soil Pit	2	39.290382	-76.744543	0	failed		
USA: Maryland, Winters Lane Upper Soil Pit	2	39.290308	-76.74376	0	failed		
USA: Massachusetts, D01 HARV Plot HARV_07	2	42.536689	-72.175706	0	failed		
USA: Massachusetts, Harvard Forest & Quabbin Watershed	192	42.46976896874995	-72.22713135937497	8906.2	failed		
USA: Massachusetts, Lower Hop Brook	30	42.47191433333334	-72.32967773333333	83.2	failed		
USA: Massachusetts, Oak Pine Forest	2	41.551919	-70.635356	0	failed		
USA: Massachusetts, Town of Ludlow	6	42.30844	-71.3412	0	failed		
USA: Minnesota, Marcel Experimental Forest, Spruce and Peatland Responses to Environmental Changes	100	47.50350737000009	-93.47819554999987	1731.7	failed		
USA: North Carolina, Organic legume disk tillage	4	35.383045	-79.736177	153933.9	failed		
USA: North Dakota, Dakota Coteau Field Site	32	47.17329056249999	-99.11435890625002	6755.7	failed		
USA: North Dakota, Northern Great Plains Research Laboratory	26	46.784803538461546	-100.91534246153846	2367.2	failed		
USA: North East Pacific Ocean coastal waters of California	2	34.25	-121.13	0	failed		
USA: North East Pacific Ocean, California	7	33.57	-121.77714285714285	145220.0	failed		
USA: North East Pacific Ocean, San Diego, California	1	32.81	-117.4509	0	failed		
USA: Northeast Pacific Ocean, San Diego, California	4	32.81	-117.4552	1205.6	failed		
USA: Oklahoma, Marvin Klemme Range Research Station	80	35.41218525000001	-99.06075948750001	2227.4	failed		
USA: Pennsylvania, Urban CZO	4	40.016515	-75.0937355	6371.9	failed		
USA: Pennsylvania,Borough of Centralia	10	40.799974000000006	-76.341376216	288.1	failed		
USA: Plum Island, Massachusetts	7	42.732484285714285	-70.84052914285715	1570.5	failed		
USA: Puerto Rico, Guanica Forest	137	17.969824321167874	-66.85898510948907	3633.8	failed		
USA: Puerto Rico, Lajas Experimental Station	57	18.024044157894743	-67.0766652105263	1557.4	failed		
USA: Puerto Rico, Rio Cupeyes	42	18.1131325	-66.98671845238091	320.5	failed		
USA: Scripps Canyon, La Jolla, California	5	32.867225	-117.257596	0	failed		
USA: Tennessee, Oak Ridge National Lab	2	35.96337	-84.28182	0	failed		
USA: Texas, Caddo Lyndon B Johnson National Grasslands	2	33.401641	-97.570431	0	failed		
USA: Texas, Pringle Creek	29	33.37850499999999	-97.78220110344824	64.9	failed		
USA: Trout Bog Lake, Wisconsin	33	46.04099999999996	-89.68600000000002	0.0	failed		
USA: University of North Carolina, Chapel Hill	1	35.9082	-79.0499	0	failed		
USA: Utah, 22UT012 - High Elevation Rock Mountain UT - LeMonte/BYU	2	40.8469346438125	-109.712571123708	0	failed		
USA: Utah, 22UT019 - High Elevation Rock Mountain UT - LeMonte/BYU	2	40.7018370916945	-109.581841189368	0	failed		
USA: Utah, 22UT023 - High Elevation Rock Mountain UT - LeMonte/BYU	2	40.6852929785344	-109.499950239684	0	failed		
USA: Utah, 22UT032 - High Elevation Rock Mountain UT - LeMonte/BYU	2	40.6195637	-109.61135	0	failed		
USA: Utah, Moab	44	38.242758886363646	-109.39318318181815	4336.4	failed		
USA: Virginia, Posey Creek	38	38.894449421052606	-78.14735336842104	93.7	failed		
USA: Washington, Fluxtower location A3	2	46.9216469	-120.658644	0	failed		
USA: Washington, Fluxtower location A5	2	46.9045	-120.6241	0	failed		
USA: Washington, Prosser Irrigated Bare	2	46.251743	-119.728729	0	failed		
USA: Washington, Prosser Non-irrigated Bare	2	46.251755	-119.728843	0	failed		
USA: Wisconsin, Steigerwaldt-Chequamegon	64	45.70324784375	-89.90252809374999	32919.6	failed		
USA: Wyoming, 22WY001	2	44.942634	-109.712562	0	failed		
USA: Wyoming, 22WY003	2	44.016047	-109.143313	0	failed		
USA: Wyoming, 22WY009	2	43.583143	-109.946757	0	failed		
USA: Wyoming, 22WY010	2	43.582587	-109.97175	0	failed		
USA: Wyoming, 22WY015	2	42.581893	-108.751004	0	failed		
